source,target,relation,cosine_similarity
C (major),Am (minor),outer_clockwise,-0.02020871266722679
Am (minor),G (major),outer_clockwise,0.09954008460044861
G (major),Em (minor),outer_clockwise,0.030870504677295685
Em (minor),D (major),outer_clockwise,-0.0115054314956069
D (major),Bm (minor),outer_clockwise,0.0013579289661720395
Bm (minor),A (major),outer_clockwise,0.040800902992486954
A (major),F#m (minor),outer_clockwise,-0.09127124398946762
F#m (minor),E (major),outer_clockwise,0.032893579453229904
E (major),C#m (minor),outer_clockwise,0.11701472848653793
C#m (minor),B (major),outer_clockwise,-0.07826071977615356
B (major),G#m (minor),outer_clockwise,0.06506042182445526
G#m (minor),F# (major),outer_clockwise,0.039337556809186935
F# (major),bEm (minor),outer_clockwise,0.034289587289094925
bEm (minor),Db (major),outer_clockwise,-0.04143408685922623
Db (major),bBm (minor),outer_clockwise,-0.032624080777168274
bBm (minor),Ab (major),outer_clockwise,-0.025179192423820496
Ab (major),Fm (minor),outer_clockwise,0.011677014641463757
Fm (minor),Eb (major),outer_clockwise,0.006168894935399294
Eb (major),Cm (minor),outer_clockwise,0.039147794246673584
Cm (minor),Bb (major),outer_clockwise,-0.010667266324162483
Bb (major),Gm (minor),outer_clockwise,-0.05440853536128998
Gm (minor),F (major),outer_clockwise,0.06402837485074997
F (major),Dm (minor),outer_clockwise,-0.0896763950586319
Dm (minor),C (major),outer_clockwise,-0.04472482204437256
C7 (dominant),G7 (dominant),dominant_clockwise,-0.013027559965848923
G7 (dominant),D7 (dominant),dominant_clockwise,-0.11061245203018188
D7 (dominant),A7 (dominant),dominant_clockwise,-0.015317093580961227
A7 (dominant),E7 (dominant),dominant_clockwise,-0.028094077482819557
E7 (dominant),B7 (dominant),dominant_clockwise,0.09188368916511536
B7 (dominant),F#7 (dominant),dominant_clockwise,0.09831130504608154
F#7 (dominant),Db7 (dominant),dominant_clockwise,-0.03678136318922043
Db7 (dominant),Ab7 (dominant),dominant_clockwise,-0.005000649485737085
Ab7 (dominant),Eb7 (dominant),dominant_clockwise,0.03035123646259308
Eb7 (dominant),Bb7 (dominant),dominant_clockwise,0.04375947639346123
Bb7 (dominant),F7 (dominant),dominant_clockwise,-0.025287093594670296
F7 (dominant),C7 (dominant),dominant_clockwise,0.045285433530807495
Cdim (dim),Gdim (dim),dim_clockwise,0.16225260496139526
Gdim (dim),Ddim (dim),dim_clockwise,-0.04638243094086647
Ddim (dim),Adim (dim),dim_clockwise,0.08183453232049942
Adim (dim),Edim (dim),dim_clockwise,0.05958773195743561
Edim (dim),Bdim (dim),dim_clockwise,0.07823138684034348
Bdim (dim),F#dim (dim),dim_clockwise,-0.027265144512057304
F#dim (dim),Dbdim (dim),dim_clockwise,-0.004192036110907793
Dbdim (dim),Abdim (dim),dim_clockwise,-0.055960118770599365
Abdim (dim),Ebdim (dim),dim_clockwise,-0.01402928028255701
Ebdim (dim),Bbdim (dim),dim_clockwise,0.04733552411198616
Bbdim (dim),Fdim (dim),dim_clockwise,0.02054477669298649
Fdim (dim),Cdim (dim),dim_clockwise,-0.021335626021027565
C (major),Am (minor),major_to_minor,-0.02020871266722679
Am (minor),G7 (dominant),minor_to_dominant,-0.07211706042289734
E7 (dominant),Am (minor),dominant_to_minor,0.010932273231446743
G7 (dominant),C (major),dominant_to_major,-0.05651729926466942
Cdim (dim),F7 (dominant),dim_to_dominant,-0.0905962660908699
G (major),Em (minor),major_to_minor,0.030870504677295685
Em (minor),D7 (dominant),minor_to_dominant,0.055234406143426895
B7 (dominant),Em (minor),dominant_to_minor,0.04292397201061249
D7 (dominant),G (major),dominant_to_major,-0.06284216791391373
Gdim (dim),C7 (dominant),dim_to_dominant,0.05724744871258736
D (major),Bm (minor),major_to_minor,0.0013579289661720395
Bm (minor),A7 (dominant),minor_to_dominant,-0.07184243202209473
F#7 (dominant),Bm (minor),dominant_to_minor,-0.04702891781926155
A7 (dominant),D (major),dominant_to_major,0.027418451383709908
Ddim (dim),G7 (dominant),dim_to_dominant,0.030487149953842163
A (major),F#m (minor),major_to_minor,-0.09127124398946762
F#m (minor),E7 (dominant),minor_to_dominant,0.09478668868541718
Db7 (dominant),F#m (minor),dominant_to_minor,0.10479581356048584
E7 (dominant),A (major),dominant_to_major,0.0390181727707386
Adim (dim),D7 (dominant),dim_to_dominant,-0.002043335000053048
E (major),C#m (minor),major_to_minor,0.11701472848653793
C#m (minor),B7 (dominant),minor_to_dominant,0.07910468429327011
Ab7 (dominant),C#m (minor),dominant_to_minor,-0.03604999929666519
B7 (dominant),E (major),dominant_to_major,0.04622417688369751
Edim (dim),A7 (dominant),dim_to_dominant,-0.05796385183930397
B (major),G#m (minor),major_to_minor,0.06506042182445526
G#m (minor),F#7 (dominant),minor_to_dominant,0.10301485657691956
Eb7 (dominant),G#m (minor),dominant_to_minor,-0.08561331778764725
F#7 (dominant),B (major),dominant_to_major,0.007366909179836512
Bdim (dim),E7 (dominant),dim_to_dominant,0.07408347725868225
F# (major),bEm (minor),major_to_minor,0.034289587289094925
bEm (minor),Db7 (dominant),minor_to_dominant,0.026314448565244675
Bb7 (dominant),bEm (minor),dominant_to_minor,-0.015202964656054974
Db7 (dominant),F# (major),dominant_to_major,-0.0745588019490242
F#dim (dim),B7 (dominant),dim_to_dominant,0.10513003170490265
Db (major),bBm (minor),major_to_minor,-0.032624080777168274
bBm (minor),Ab7 (dominant),minor_to_dominant,0.11893396824598312
F7 (dominant),bBm (minor),dominant_to_minor,-0.06250911206007004
Ab7 (dominant),Db (major),dominant_to_major,0.09735167026519775
Dbdim (dim),F#7 (dominant),dim_to_dominant,0.061663515865802765
Ab (major),Fm (minor),major_to_minor,0.011677014641463757
Fm (minor),Eb7 (dominant),minor_to_dominant,0.04196103662252426
C7 (dominant),Fm (minor),dominant_to_minor,-0.013313128612935543
Eb7 (dominant),Ab (major),dominant_to_major,0.03231401368975639
Abdim (dim),Db7 (dominant),dim_to_dominant,-0.027927694842219353
Eb (major),Cm (minor),major_to_minor,0.039147794246673584
Cm (minor),Bb7 (dominant),minor_to_dominant,0.06094616651535034
G7 (dominant),Cm (minor),dominant_to_minor,-0.043971192091703415
Bb7 (dominant),Eb (major),dominant_to_major,0.05830833688378334
Ebdim (dim),Ab7 (dominant),dim_to_dominant,0.015110600739717484
Bb (major),Gm (minor),major_to_minor,-0.05440853536128998
Gm (minor),F7 (dominant),minor_to_dominant,-0.034105487167835236
D7 (dominant),Gm (minor),dominant_to_minor,-0.014770650304853916
F7 (dominant),Bb (major),dominant_to_major,-0.06014544144272804
